Day,Percentage,Type
6,0.114397108,0
6,0.028488236,1
7,0.091053781,0
7,0.059444054,1
1,0.082100883,0
1,0.052645785,1
2,0.112005848,0
2,0.030939661,1
3,0.119496148,0
3,0.028600349,1
4,0.114817522,0
4,0.025991115,1
5,0.108564359,0
5,0.027363212,1
6,0.106866108,0
6,0.034988472,1
7,0.072856099,0
7,0.082764438,1
1,0.080097087,0
1,0.100211362,1
2,0.087146374,0
2,0.025839643,1
3,0.115459655,0
3,0.027674548,1
4,0.124622567,0
4,0.029834626,1
5,0.120012078,0
5,0.02935848,1
6,0.105356064,0
6,0.035223208,1
7,0.070771589,0
7,0.048392716,1
1,0.07706103,0
1,0.054568354,1
2,0.110519399,0
2,0.030145388,1
3,0.123798702,0
3,0.028844837,1
4,0.130096104,0
4,0.028215097,1
5,0.103373217,0
5,0.024819976,1
6,0.124414752,0
6,0.041891411,1
7,0.071530269,0
7,0.050721463,1
1,0.07336347,0
1,0.050043838,1
2,0.105166073,0
2,0.030880293,1
3,0.120697312,0
3,0.031529326,1
4,0.121585462,0
4,0.033123441,1
5,0.118397231,0
5,0.035947303,1
6,0.110722704,0
6,0.039420197,1
7,0.073397629,0
7,0.055725721,1
1,0.085923172,0
1,0.064341884,1
2,0.115795292,0
2,0.034017536,1
3,0.123885134,0
3,0.032183504,1
4,0.123935382,0
4,0.030047986,1
5,0.112679949,0
5,0.031354421,1
6,0.10333392,0
6,0.033000025,1
7,0.066791448,0
7,0.042710348,1
1,0.066772228,0
1,0.036660315,1
2,0.100292531,0
2,0.0236977,1
3,0.124218352,0
3,0.027629425,1
4,0.120917313,0
4,0.026529079,1
5,0.126687421,0
5,0.031936878,1
6,0.124070744,0
6,0.035814927,1
7,0.089356163,0
7,0.065416924,1
1,0.05703058,0
1,0.033153843,1
2,0.120440725,0
2,0.033128972,1
3,0.131931404,0
3,0.030256302,1
4,0.12930745,0
4,0.029286309,1
5,0.125564274,0
5,0.030181687,1
6,0.110790544,0
6,0.029684255,1
7,0.083941651,0
7,0.055302003,1
1,0.082907208,0
1,0.049612364,1
2,0.125058685,0
2,0.031023588,1
3,0.133953382,0
3,0.028384363,1
4,0.13621195,0
4,0.023537323,1
5,0.12922054,0
5,0.027635736,1
6,0.124817602,0
6,0.042608265,1
7,0.046021494,0
7,0.019007499,1
1,0.074533393,0
1,0.049556909,1
2,0.089707411,0
2,0.039197485,1
3,0.119547997,0
3,0.02314471,1
4,0.122258528,0
4,0.023751176,1
5,0.125612654,0
5,0.025867617,1
6,0.117765731,0
6,0.03658597,1
7,0.0851156,0
7,0.06735482,1
1,0.082207566,0
1,0.0557408,1
2,0.115759924,0
2,0.030181185,1
3,0.132321573,0
3,0.026871307,1
4,0.132407385,0
4,0.026000932,1
5,0.129857553,0
5,0.029739868,1
6,0.106406453,0
6,0.023353029,1
7,0.074472258,0
7,0.034680168,1
1,0.081024321,0
1,0.049115914,1
2,0.122972698,0
2,0.023358851,1
3,0.13091254,0
3,0.020581261,1
4,0.126847775,0
4,0.018088205,1
5,0.114084412,0
5,0.011652327,1
6,0.120682881,0
6,0.023304654,1
7,0.094736129,0
7,0.062638033,1
1,0.079217531,0
1,0.056445291,1
2,0.110003609,0
2,0.023469096,1
3,0.122957654,0
3,0.018516445,1
4,0.130585732,0
4,0.020271027,1
5,0.128134294,0
5,0.02066923,1
6,0.119236943,0
6,0.029840345,1
7,0.084319508,0
7,0.056333296,1
1,0.091294992,0
1,0.053739351,1
2,0.128275801,0
2,0.021401409,1
3,0.149780385,0
3,0.027473985,1
4,0.095112461,0
4,0.013943342,1
5,0.130796215,0
5,0.020295964,1
6,0.106903871,0
6,0.038248386,1
7,0.075686113,0
7,0.047047726,1
1,0.076473798,0
1,0.043804664,1
2,0.117033672,0
2,0.018805032,1
3,0.13560272,0
3,0.017713603,1
4,0.131413991,0
4,0.016754915,1
5,0.13684164,0
5,0.017949588,1
6,0.13560272,0
6,0.030368284,1
7,0.075603605,0
7,0.046031769,1
1,0.07879281,0
1,0.018484147,1
2,0.160128143,0
2,0.013424525,1
3,0.174086598,0
3,0.01980626,1
4,0.145712034,0
4,0.029798378,1
5,0.044799268,0
5,0.039815921,1
6,0.075792632,0
6,0.072461926,1
7,0.073656912,0
7,0.053240446,1
1,0.074288854,0
1,0.024742604,1
2,0.149269523,0
2,0.014060147,1
3,0.122980507,0
3,0.005839743,1
4,0.118443007,0
4,0.00710129,1
5,0.172445367,0
5,0.013347984,1
6,0.152403044,0
6,0.018740081,1
7,0.097383307,0
7,0.028954544,1
1,0.096693252,0
1,0.021238462,1
2,0.168160229,0
2,0.015772023,1
3,0.083744063,0
3,0.003472533,1
4,0.179608388,0
4,0.014293395,1
5,0.167040057,0
5,0.012030648,1
6,0.133614123,0
6,0.010193566,1
7,0.078210413,0
7,0.015928847,1
1,0.08591111,0
1,0.015559752,1
2,0.171928611,0
2,0.015240578,1
3,0.193605873,0
3,0.01234141,1
4,0.189483203,0
4,0.012926563,1
5,0.117243397,0
5,0.003936484,1
6,0.114557013,0
6,0.005585552,1
7,0.05548315,0
7,0.006197303,1
1,0.084687115,0
1,0.012462612,1
2,0.17107501,0
2,0.014485954,1
3,0.167790745,0
3,0.011260337,1
4,0.176734502,0
4,0.016421324,1
5,0.161779368,0
5,0.019646942,1
6,0.108087502,0
6,0.015336344,1
7,0.031992259,0
7,0.008239986,1
1,0.031956135,0
1,0.043306674,1
2,0.053888869,0
2,0.028568435,1
3,0.145217057,0
3,0.057451193,1
4,0.156672371,0
4,0.066706248,1
5,0.119163203,0
5,0.029406629,1
6,0.126252925,0
6,0.029057381,1
7,0.078231411,0
7,0.034121468,1
